Energy Intensity Error
-10.879 0.00010588 4.7525e-05
-10.821 8.8876e-05 4.3066e-05
-10.763 0.00017648 6.4797e-05
-10.705 7.0549e-05 3.765e-05
-10.647 0.00012418 5.2342e-05
-10.589 0.00023104 7.7226e-05
-10.531 0.00017816 6.5413e-05
-10.473 0.00017549 6.4433e-05
-10.415 0.00015914 6.0789e-05
-10.357 8.898e-05 4.3116e-05
-10.299 8.9371e-05 4.3306e-05
-10.241 0.00019551 6.9318e-05
-10.183 0.00010621 4.7672e-05
-10.125 8.9017e-05 4.3134e-05
-10.067 0.00016103 6.1513e-05
-10.009 0.00010629 4.771e-05
-9.9506 0.00012487 5.2632e-05
-9.8926 0.00012504 5.2704e-05
-9.8346 7.1457e-05 3.8134e-05
-9.7766 8.9051e-05 4.3151e-05
-9.7185 0.00019812 7.0246e-05
-9.6605 5.3525e-05 3.2476e-05
-9.6025 8.9554e-05 4.3395e-05
-9.5445 7.0812e-05 3.779e-05
-9.4864 7.1218e-05 3.8007e-05
-9.4284 0.00010786 4.8415e-05
-9.3704 0.00010709 4.8067e-05
-9.3124 5.333e-05 3.2358e-05
-9.2544 7.2103e-05 3.8479e-05
-9.1963 0.00012588 5.306e-05
-9.1383 7.1518e-05 3.8167e-05
-9.0803 0.0001959 6.946e-05
-9.0223 0.00021604 7.4254e-05
-8.9643 0.00014406 5.759e-05
-8.9062 0.00018099 6.645e-05
-8.8482 0.00012502 5.2694e-05
-8.7902 0.00019737 6.9981e-05
-8.7322 0.00010827 4.8598e-05
-8.6742 0.00010916 4.8997e-05
-8.6161 0.00010691 4.7987e-05
-8.5581 0.00012661 5.3368e-05
-8.5001 9.0641e-05 4.3921e-05
-8.4421 7.1876e-05 3.8358e-05
-8.384 0.00010717 4.8102e-05
-8.326 0.0001981 7.0239e-05
-8.268 0.00019794 7.0181e-05
-8.21 0.00028762 8.972e-05
-8.152 0.0001441 5.7605e-05
-8.0939 0.00010819 4.856e-05
-8.0359 0.00010952 4.9157e-05
-7.9779 0.00010864 4.8763e-05
-7.9199 0.00023389 7.8178e-05
-7.8619 0.00014425 5.7666e-05
-7.8038 7.3042e-05 3.898e-05
-7.7458 0.00012641 5.3281e-05
-7.6878 9.059e-05 4.3897e-05
-7.6298 0.00019782 7.0138e-05
-7.5718 0.00012659 5.3359e-05
-7.5137 9.1164e-05 4.4175e-05
-7.4557 0.00017997 6.6077e-05
-7.3977 0.00023572 7.8791e-05
-7.3397 3.6395e-05 2.6615e-05
-7.2816 0.00021785 7.4877e-05
-7.2236 0.00012651 5.3323e-05
-7.1656 0.00014824 5.9261e-05
-7.1076 0.00016584 6.3349e-05
-7.0496 0.00010802 4.8484e-05
-6.9915 0.0002014 7.141e-05
-6.9335 0.00023877 7.981e-05
-6.8755 0.00018159 6.6673e-05
-6.8175 0.00012829 5.4076e-05
-6.7595 0.00016343 6.2429e-05
-6.7014 0.00010902 4.8935e-05
-6.6434 7.4144e-05 3.9568e-05
-6.5854 5.4351e-05 3.2977e-05
-6.5274 0.00012763 5.3797e-05
-6.4694 0.00016248 6.2065e-05
-6.4113 0.00012884 5.4306e-05
-6.3533 0.00018328 6.7291e-05
-6.2953 9.1344e-05 4.4262e-05
-6.2373 0.00019857 7.0406e-05
-6.1792 0.00016772 6.4069e-05
-6.1212 0.00023662 7.9093e-05
-6.0632 9.046e-05 4.3834e-05
-6.0052 7.2274e-05 3.8571e-05
-5.9472 0.00011179 5.0179e-05
-5.8891 0.00023464 7.843e-05
-5.8311 0.00014467 5.7832e-05
-5.7731 0.00022151 7.6135e-05
-5.7151 0.00018089 6.6414e-05
-5.6571 0.00011065 4.9668e-05
-5.599 0.00012818 5.4027e-05
-5.541 0.00012662 5.3372e-05
-5.483 0.00012622 5.3201e-05
-5.425 0.00016562 6.3265e-05
-5.3669 9.0197e-05 4.3706e-05
-5.3089 0.00010975 4.9262e-05
-5.2509 0.00014676 5.8669e-05
-5.1929 9.1517e-05 4.4346e-05
